Vivado Simulator 2020.2
Time resolution is 1 ps
WARNING: File younghee.mem referenced on C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sources_1/VGA/QVGA_MemController.sv at line 55 cannot be opened for reading. Please ensure that this file is available in the current working directory.
time	reset	busy	DE	Hsync	Vsync	pixel_clk
                   0	1	x	1	1	1	0
              100000	0	x	1	1	1	0
Warning: NUMERIC_STD."=": metavalue detected, returning FALSE
Time: 140 ns  Iteration: 3  Process: /tb_TOP_OV7670_HDMI/uut/u_rgb2dvi/\DataEncoders(0)\/DataEncoder/line__154  File: C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sources_1/HDMI/TMDS_Encoder.vhd
Warning: NUMERIC_STD."=": metavalue detected, returning FALSE
Time: 140 ns  Iteration: 3  Process: /tb_TOP_OV7670_HDMI/uut/u_rgb2dvi/\DataEncoders(1)\/DataEncoder/line__154  File: C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sources_1/HDMI/TMDS_Encoder.vhd
Warning: NUMERIC_STD."=": metavalue detected, returning FALSE
Time: 140 ns  Iteration: 3  Process: /tb_TOP_OV7670_HDMI/uut/u_rgb2dvi/\DataEncoders(2)\/DataEncoder/line__154  File: C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sources_1/HDMI/TMDS_Encoder.vhd
$stop called at time : 7240 ns : File "C:/working/FPAG_Harman/250718_OV7670_HDMI_V2/250718_OV7670_HDMI_V2.srcs/sim_1/new/tb_TOP_OV7670_HDMI.sv" Line 67
             7240000	0	0	1	1	1	0
             7260000	0	0	1	1	1	1
             7280000	0	0	1	1	1	0
             7300000	0	0	1	1	1	1
             7320000	0	0	1	1	1	0
             7340000	0	0	1	1	1	1
             7360000	0	0	1	1	1	0
             7380000	0	0	1	1	1	1
             7400000	0	0	1	1	1	0
             7420000	0	0	1	1	1	1
             7440000	0	0	1	1	1	0
             7460000	0	0	1	1	1	1
             7480000	0	0	1	1	1	0
             7500000	0	0	1	1	1	1
             7520000	0	0	1	1	1	0
             7540000	0	0	1	1	1	1
             7560000	0	0	1	1	1	0
             7580000	0	0	1	1	1	1
             7600000	0	0	1	1	1	0
             7620000	0	0	1	1	1	1
             7640000	0	0	1	1	1	0
             7660000	0	0	1	1	1	1
             7680000	0	0	1	1	1	0
             7700000	0	0	1	1	1	1
             7720000	0	0	1	1	1	0
             7740000	0	0	1	1	1	1
             7760000	0	0	1	1	1	0
             7780000	0	0	1	1	1	1
             7800000	0	0	1	1	1	0
             7820000	0	0	1	1	1	1
             7840000	0	0	1	1	1	0
             7860000	0	0	1	1	1	1
             7880000	0	0	1	1	1	0
             7900000	0	0	1	1	1	1
             7920000	0	0	1	1	1	0
             7940000	0	0	1	1	1	1
             7960000	0	0	1	1	1	0
             7980000	0	0	1	1	1	1
